PWM,wheel,surface,enc_per_ms
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
16,left,table,0
16,left,table,0
16,left,table,0
16,left,table,0
16,left,table,0.0909
16,left,table,0
16,left,table,0.0909
16,left,table,0.1818
16,left,table,0.0909
16,left,table,0.0909
20,left,table,0.1818
20,left,table,0.1818
20,left,table,0.1818
20,left,table,0.1818
20,left,table,0.1818
20,left,table,0.1818
20,left,table,0.2727
20,left,table,0.2727
20,left,table,0.1818
20,left,table,0.2727
24,left,table,0.3636
24,left,table,0.2727
24,left,table,0.2727
24,left,table,0.3636
24,left,table,0.3636
24,left,table,0.3636
24,left,table,0.3636
24,left,table,0.3636
24,left,table,0.3636
24,left,table,0.3636
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.3636
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.4545
32,left,table,0.5455
32,left,table,0.4545
32,left,table,0.5455
32,left,table,0.5455
32,left,table,0.5455
32,left,table,0.5455
32,left,table,0.5455
32,left,table,0.6364
32,left,table,0.5
32,left,table,0.6364
36,left,table,0.6364
36,left,table,0.6364
36,left,table,0.5455
36,left,table,0.6364
36,left,table,0.6364
36,left,table,0.6364
36,left,table,0.6364
36,left,table,0.6364
36,left,table,0.7273
36,left,table,0.7273
40,left,table,0.5455
40,left,table,0.7273
40,left,table,0.7273
40,left,table,0.7273
40,left,table,0.7273
40,left,table,0.7273
40,left,table,0.7273
40,left,table,0.8182
40,left,table,0.6364
40,left,table,0.8182
44,left,table,0.8182
44,left,table,0.8182
44,left,table,0.7273
44,left,table,0.8182
44,left,table,0.8182
44,left,table,0.75
44,left,table,0.8182
44,left,table,0.9091
44,left,table,0.8182
44,left,table,0.8182
48,left,table,0.8182
48,left,table,0.9091
48,left,table,0.9091
48,left,table,0.8182
48,left,table,0.9091
48,left,table,0.9091
48,left,table,0.9091
48,left,table,0.9091
48,left,table,1
48,left,table,1
52,left,table,1
52,left,table,0.9091
52,left,table,1.0909
52,left,table,1
52,left,table,1
52,left,table,0.9091
52,left,table,1
52,left,table,1
52,left,table,1
52,left,table,0.9091
56,left,table,1.0909
56,left,table,1
56,left,table,1
56,left,table,0.9091
56,left,table,1
56,left,table,1
56,left,table,0.8333
56,left,table,1.0909
56,left,table,1
56,left,table,1
60,left,table,0.9091
60,left,table,1.0909
60,left,table,1.0909
60,left,table,1.0909
60,left,table,1.0909
60,left,table,1.1818
60,left,table,1.0909
60,left,table,1.1818
60,left,table,1.0909
60,left,table,1.2727
64,left,table,1.1818
64,left,table,1.2727
64,left,table,1.0909
64,left,table,1.3636
64,left,table,1.2727
64,left,table,1.2727
64,left,table,1.1818
64,left,table,1.3636
64,left,table,1.2727
64,left,table,1.2727
68,left,table,1.2727
68,left,table,1.3636
68,left,table,1.2727
68,left,table,1.25
68,left,table,1.4545
68,left,table,1.3636
68,left,table,1.3636
68,left,table,1.2727
68,left,table,1.4545
68,left,table,1.3636
72,left,table,1.4545
72,left,table,1.2727
72,left,table,1.4545
72,left,table,1.4545
72,left,table,1.4545
72,left,table,1.3636
72,left,table,1.4545
72,left,table,1.5455
72,left,table,1.4545
72,left,table,1.3636
76,left,table,1.5455
76,left,table,1.5455
76,left,table,1.5455
76,left,table,1.3636
76,left,table,1.5455
76,left,table,1.6364
76,left,table,1.5455
76,left,table,1.4545
76,left,table,1.5455
76,left,table,1.6364
80,left,table,1.6364
80,left,table,1.4545
80,left,table,1.6364
80,left,table,1.5455
80,left,table,1.5
80,left,table,1.7273
80,left,table,1.6364
80,left,table,1.7273
80,left,table,1.4545
80,left,table,1.7273
84,left,table,1.6364
84,left,table,1.8182
84,left,table,1.5455
84,left,table,1.7273
84,left,table,1.7273
84,left,table,1.7273
84,left,table,1.6364
84,left,table,1.7273
84,left,table,1.8182
84,left,table,1.7273
88,left,table,1.6364
88,left,table,1.7273
88,left,table,1.8182
88,left,table,1.8182
88,left,table,1.6364
88,left,table,1.9091
88,left,table,1.8182
88,left,table,1.8182
88,left,table,1.7273
88,left,table,1.8182
92,left,table,1.9091
92,left,table,1.75
92,left,table,1.9091
92,left,table,1.9091
92,left,table,1.9091
92,left,table,1.7273
92,left,table,1.9091
92,left,table,2
92,left,table,2
92,left,table,1.7273
96,left,table,1.9091
96,left,table,2
96,left,table,2
96,left,table,1.7273
96,left,table,2.0909
96,left,table,2
96,left,table,2
96,left,table,1.8182
96,left,table,2
96,left,table,2.0909
100,left,table,2
100,left,table,1.8182
100,left,table,2
100,left,table,2.0909
100,left,table,2
100,left,table,1.9091
100,left,table,2
100,left,table,2.0909
100,left,table,2.0909
100,left,table,1.9091
104,left,table,2.1818
104,left,table,2.1818
104,left,table,1.9167
104,left,table,2.1818
104,left,table,2.1818
104,left,table,2.1818
104,left,table,2
104,left,table,2.2727
104,left,table,2.1818
104,left,table,2.1818
108,left,table,2.0909
108,left,table,2.1818
108,left,table,2.2727
108,left,table,2.2727
108,left,table,2
108,left,table,2.3636
108,left,table,2.1818
108,left,table,2.3636
108,left,table,2.0909
108,left,table,2.2727
112,left,table,2.3636
112,left,table,2.3636
112,left,table,2.0909
112,left,table,2.3636
112,left,table,2.3636
112,left,table,2.3636
112,left,table,2.1818
112,left,table,2.3636
112,left,table,2.3636
112,left,table,2.1667
116,left,table,2.4545
116,left,table,2.4545
116,left,table,2.4545
116,left,table,2.1818
116,left,table,2.4545
116,left,table,2.4545
116,left,table,2.4545
116,left,table,2.2727
116,left,table,2.4545
116,left,table,2.4545
0,left,carpet,0
0,left,carpet,0
0,left,carpet,0
0,left,carpet,0
0,left,carpet,0
0,left,carpet,0
0,left,carpet,0
0,left,carpet,0
0,left,carpet,0
0,left,carpet,0
4,left,carpet,0
4,left,carpet,0
4,left,carpet,0
4,left,carpet,0
4,left,carpet,0
4,left,carpet,0
4,left,carpet,0
4,left,carpet,0
4,left,carpet,0
4,left,carpet,0
8,left,carpet,0
8,left,carpet,0
8,left,carpet,0
8,left,carpet,0
8,left,carpet,0
8,left,carpet,0
8,left,carpet,0
8,left,carpet,0
8,left,carpet,0
8,left,carpet,0
12,left,carpet,0
12,left,carpet,0
12,left,carpet,0
12,left,carpet,0
12,left,carpet,0
12,left,carpet,0
12,left,carpet,0
12,left,carpet,0
12,left,carpet,0
12,left,carpet,0
16,left,carpet,0
16,left,carpet,0
16,left,carpet,0.0909
16,left,carpet,0
16,left,carpet,0.0909
16,left,carpet,0.0909
16,left,carpet,0.0909
16,left,carpet,0.0909
16,left,carpet,0
16,left,carpet,0.0909
20,left,carpet,0.0909
20,left,carpet,0.0909
20,left,carpet,0.1818
20,left,carpet,0.0909
20,left,carpet,0.0909
20,left,carpet,0.1818
20,left,carpet,0.1818
20,left,carpet,0.0909
20,left,carpet,0.1818
20,left,carpet,0.1818
24,left,carpet,0.1818
24,left,carpet,0.1818
24,left,carpet,0.1818
24,left,carpet,0.1818
24,left,carpet,0.2727
24,left,carpet,0.1818
24,left,carpet,0.2727
24,left,carpet,0.2727
24,left,carpet,0.2727
24,left,carpet,0.2727
28,left,carpet,0.3636
28,left,carpet,0.3636
28,left,carpet,0.3636
28,left,carpet,0.2727
28,left,carpet,0.3636
28,left,carpet,0.4545
28,left,carpet,0.3636
28,left,carpet,0.3636
28,left,carpet,0.5455
28,left,carpet,0.3636
32,left,carpet,0.4545
32,left,carpet,0.3636
32,left,carpet,0.4545
32,left,carpet,0.5455
32,left,carpet,0.4545
32,left,carpet,0.4545
32,left,carpet,0.4545
32,left,carpet,0.4545
32,left,carpet,0.4167
32,left,carpet,0.4545
36,left,carpet,0.5455
36,left,carpet,0.5455
36,left,carpet,0.4545
36,left,carpet,0.5455
36,left,carpet,0.6364
36,left,carpet,0.5455
36,left,carpet,0.4545
36,left,carpet,0.6364
36,left,carpet,0.5455
36,left,carpet,0.6364
40,left,carpet,0.5455
40,left,carpet,0.6364
40,left,carpet,0.6364
40,left,carpet,0.6364
40,left,carpet,0.5455
40,left,carpet,0.6364
40,left,carpet,0.6364
40,left,carpet,0.7273
40,left,carpet,0.5455
40,left,carpet,0.7273
44,left,carpet,0.7273
44,left,carpet,0.7273
44,left,carpet,0.7273
44,left,carpet,0.7273
44,left,carpet,0.7273
44,left,carpet,0.75
44,left,carpet,0.7273
44,left,carpet,0.8182
44,left,carpet,0.7273
44,left,carpet,0.7273
48,left,carpet,0.8182
48,left,carpet,0.9091
48,left,carpet,0.8182
48,left,carpet,0.8182
48,left,carpet,0.8182
48,left,carpet,0.9091
48,left,carpet,0.9091
48,left,carpet,0.8182
48,left,carpet,0.8182
48,left,carpet,0.9091
52,left,carpet,0.9091
52,left,carpet,0.9091
52,left,carpet,0.9091
52,left,carpet,1
52,left,carpet,0.9091
52,left,carpet,0.9091
52,left,carpet,1
52,left,carpet,1
52,left,carpet,1
52,left,carpet,0.9091
56,left,carpet,0.9091
56,left,carpet,1
56,left,carpet,1
56,left,carpet,1
56,left,carpet,1
56,left,carpet,0.9091
56,left,carpet,0.9167
56,left,carpet,1
56,left,carpet,1.0909
56,left,carpet,1.0909
60,left,carpet,1
60,left,carpet,1.0909
60,left,carpet,1.0909
60,left,carpet,1.1818
60,left,carpet,1.0909
60,left,carpet,1.0909
60,left,carpet,1.1818
60,left,carpet,1.0909
60,left,carpet,1.0909
60,left,carpet,1.0909
64,left,carpet,1.1818
64,left,carpet,1.1818
64,left,carpet,1.0909
64,left,carpet,1.2727
64,left,carpet,1.1818
64,left,carpet,1.2727
64,left,carpet,1.0909
64,left,carpet,1.1818
64,left,carpet,1.1818
64,left,carpet,1.2727
68,left,carpet,1.1818
68,left,carpet,1.2727
68,left,carpet,1.2727
68,left,carpet,1.1667
68,left,carpet,1.3636
68,left,carpet,1.2727
68,left,carpet,1.2727
68,left,carpet,1.1818
68,left,carpet,1.3636
68,left,carpet,1.2727
72,left,carpet,1.3636
72,left,carpet,1.2727
72,left,carpet,1.3636
72,left,carpet,1.3636
72,left,carpet,1.4545
72,left,carpet,1.2727
72,left,carpet,1.3636
72,left,carpet,1.4545
72,left,carpet,1.3636
72,left,carpet,1.3636
76,left,carpet,1.4545
76,left,carpet,1.3636
76,left,carpet,1.5455
76,left,carpet,1.3636
76,left,carpet,1.4545
76,left,carpet,1.4545
76,left,carpet,1.5455
76,left,carpet,1.3636
76,left,carpet,1.4545
76,left,carpet,1.5455
80,left,carpet,1.5455
80,left,carpet,1.4545
80,left,carpet,1.5455
80,left,carpet,1.5455
80,left,carpet,1.4167
80,left,carpet,1.5455
80,left,carpet,1.5455
80,left,carpet,1.6364
80,left,carpet,1.4545
80,left,carpet,1.5455
84,left,carpet,1.6364
84,left,carpet,1.6364
84,left,carpet,1.5455
84,left,carpet,1.6364
84,left,carpet,1.6364
84,left,carpet,1.6364
84,left,carpet,1.5455
84,left,carpet,1.7273
84,left,carpet,1.6364
84,left,carpet,1.7273
88,left,carpet,1.4545
88,left,carpet,1.7273
88,left,carpet,1.8182
88,left,carpet,1.6364
88,left,carpet,1.6364
88,left,carpet,1.8182
88,left,carpet,1.6364
88,left,carpet,1.8182
88,left,carpet,1.6364
88,left,carpet,1.8182
92,left,carpet,1.7273
92,left,carpet,1.6667
92,left,carpet,1.8182
92,left,carpet,1.8182
92,left,carpet,1.8182
92,left,carpet,1.7273
92,left,carpet,1.9091
92,left,carpet,1.9091
92,left,carpet,1.9091
92,left,carpet,1.7273
96,left,carpet,1.9091
96,left,carpet,1.9091
96,left,carpet,1.9091
96,left,carpet,1.7273
96,left,carpet,2
96,left,carpet,1.8182
96,left,carpet,1.9091
96,left,carpet,1.8182
96,left,carpet,2
96,left,carpet,2.0909
100,left,carpet,2.0909
100,left,carpet,1.8182
100,left,carpet,2
100,left,carpet,2
100,left,carpet,2
100,left,carpet,1.8182
100,left,carpet,2
100,left,carpet,2
100,left,carpet,2
100,left,carpet,1.8182
104,left,carpet,2
104,left,carpet,2
104,left,carpet,1.9167
104,left,carpet,2.0909
104,left,carpet,2.0909
104,left,carpet,2.0909
104,left,carpet,1.9091
104,left,carpet,2.0909
104,left,carpet,2.0909
104,left,carpet,2.0909
108,left,carpet,2
108,left,carpet,2.1818
108,left,carpet,2.1818
108,left,carpet,2.1818
108,left,carpet,1.9091
108,left,carpet,2.1818
108,left,carpet,2.1818
108,left,carpet,2.2727
108,left,carpet,2
108,left,carpet,2.1818
112,left,carpet,2.2727
112,left,carpet,2.2727
112,left,carpet,2.0909
112,left,carpet,2.2727
112,left,carpet,2.2727
112,left,carpet,2.1818
112,left,carpet,2.0909
112,left,carpet,2.2727
112,left,carpet,2.3636
112,left,carpet,2.1667
116,left,carpet,2.2727
116,left,carpet,2.3636
116,left,carpet,2.3636
116,left,carpet,2.0909
116,left,carpet,2.3636
116,left,carpet,2.3636
116,left,carpet,2.4545
116,left,carpet,2.1818
116,left,carpet,2.3636
116,left,carpet,2.2727
0,right,table,0
0,right,table,0
0,right,table,0
0,right,table,0
0,right,table,0
0,right,table,0
0,right,table,0
0,right,table,0
0,right,table,0
0,right,table,0
4,right,table,0
4,right,table,0
4,right,table,0
4,right,table,0
4,right,table,0
4,right,table,0
4,right,table,0
4,right,table,0
4,right,table,0
4,right,table,0
8,right,table,0
8,right,table,0
8,right,table,0
8,right,table,0
8,right,table,0
8,right,table,0
8,right,table,0
8,right,table,0
8,right,table,0
8,right,table,0
12,right,table,0
12,right,table,0
12,right,table,0
12,right,table,0
12,right,table,0
12,right,table,0
12,right,table,0
12,right,table,0
12,right,table,0
12,right,table,0
16,right,table,0
16,right,table,0
16,right,table,0.0909
16,right,table,0.0909
16,right,table,0.1818
16,right,table,0.0909
16,right,table,0.1818
16,right,table,0.1818
16,right,table,0.1818
16,right,table,0.2727
20,right,table,0.1818
20,right,table,0.2727
20,right,table,0.2727
20,right,table,0.2727
20,right,table,0.2727
20,right,table,0.3636
20,right,table,0.2727
20,right,table,0.2727
20,right,table,0.3636
20,right,table,0.2727
24,right,table,0.3636
24,right,table,0.2727
24,right,table,0.3636
24,right,table,0.4545
24,right,table,0.3636
24,right,table,0.3636
24,right,table,0.4545
24,right,table,0.3636
24,right,table,0.4545
24,right,table,0.3636
28,right,table,0.4545
28,right,table,0.4545
28,right,table,0.4545
28,right,table,0.4545
28,right,table,0.4545
28,right,table,0.4545
28,right,table,0.5455
28,right,table,0.4545
28,right,table,0.5455
28,right,table,0.4545
32,right,table,0.5455
32,right,table,0.5455
32,right,table,0.5455
32,right,table,0.5455
32,right,table,0.6364
32,right,table,0.4545
32,right,table,0.6364
32,right,table,0.5455
32,right,table,0.5833
32,right,table,0.5455
36,right,table,0.6364
36,right,table,0.6364
36,right,table,0.6364
36,right,table,0.6364
36,right,table,0.6364
36,right,table,0.7273
36,right,table,0.6364
36,right,table,0.6364
36,right,table,0.7273
36,right,table,0.6364
40,right,table,0.6364
40,right,table,0.7273
40,right,table,0.7273
40,right,table,0.7273
40,right,table,0.7273
40,right,table,0.7273
40,right,table,0.8182
40,right,table,0.7273
40,right,table,0.7273
40,right,table,0.7273
44,right,table,0.8182
44,right,table,0.8182
44,right,table,0.7273
44,right,table,0.8182
44,right,table,0.9091
44,right,table,0.75
44,right,table,0.8182
44,right,table,0.9091
44,right,table,0.8182
44,right,table,0.8182
48,right,table,0.9091
48,right,table,0.9091
48,right,table,0.9091
48,right,table,0.8182
48,right,table,1
48,right,table,0.9091
48,right,table,1
48,right,table,0.9091
48,right,table,1
48,right,table,1
52,right,table,1
52,right,table,1
52,right,table,1
52,right,table,1
52,right,table,1
52,right,table,0.9091
52,right,table,1
52,right,table,1
52,right,table,1
52,right,table,0.9091
56,right,table,1
56,right,table,1.0909
56,right,table,1
56,right,table,0.9091
56,right,table,1
56,right,table,1.0909
56,right,table,1
56,right,table,1.0909
56,right,table,1.0909
56,right,table,1.0909
60,right,table,1
60,right,table,1.1818
60,right,table,1.1818
60,right,table,1.1818
60,right,table,1.0909
60,right,table,1.1818
60,right,table,1.1818
60,right,table,1.2727
60,right,table,1.0909
60,right,table,1.1818
64,right,table,1.2727
64,right,table,1.2727
64,right,table,1.0909
64,right,table,1.3636
64,right,table,1.2727
64,right,table,1.2727
64,right,table,1.1818
64,right,table,1.3636
64,right,table,1.2727
64,right,table,1.3636
68,right,table,1.1818
68,right,table,1.3636
68,right,table,1.3636
68,right,table,1.25
68,right,table,1.3636
68,right,table,1.4545
68,right,table,1.3636
68,right,table,1.2727
68,right,table,1.4545
68,right,table,1.4545
72,right,table,1.3636
72,right,table,1.3636
72,right,table,1.4545
72,right,table,1.4545
72,right,table,1.5455
72,right,table,1.2727
72,right,table,1.5455
72,right,table,1.5455
72,right,table,1.4545
72,right,table,1.4545
76,right,table,1.4545
76,right,table,1.5455
76,right,table,1.5455
76,right,table,1.4545
76,right,table,1.6364
76,right,table,1.5455
76,right,table,1.5455
76,right,table,1.4545
76,right,table,1.6364
76,right,table,1.6364
80,right,table,1.5455
80,right,table,1.5455
80,right,table,1.6364
80,right,table,1.6364
80,right,table,1.5
80,right,table,1.7273
80,right,table,1.6364
80,right,table,1.7273
80,right,table,1.5455
80,right,table,1.6364
84,right,table,1.7273
84,right,table,1.7273
84,right,table,1.6364
84,right,table,1.7273
84,right,table,1.7273
84,right,table,1.7273
84,right,table,1.6364
84,right,table,1.7273
84,right,table,1.8182
84,right,table,1.8182
88,right,table,1.6364
88,right,table,1.8182
88,right,table,1.8182
88,right,table,1.8182
88,right,table,1.7273
88,right,table,1.8182
88,right,table,1.9091
88,right,table,1.9091
88,right,table,1.6364
88,right,table,1.9091
92,right,table,1.9091
92,right,table,1.75
92,right,table,1.9091
92,right,table,2
92,right,table,1.9091
92,right,table,1.7273
92,right,table,2
92,right,table,2
92,right,table,2
92,right,table,1.8182
96,right,table,2.0909
96,right,table,2
96,right,table,2
96,right,table,1.9091
96,right,table,2
96,right,table,2
96,right,table,2.0909
96,right,table,1.8182
96,right,table,2.0909
96,right,table,2
100,right,table,2.0909
100,right,table,1.9091
100,right,table,2.0909
100,right,table,2.0909
100,right,table,2.1818
100,right,table,1.9091
100,right,table,2.1818
100,right,table,2.0909
100,right,table,2.1818
100,right,table,2
104,right,table,2.1818
104,right,table,2.1818
104,right,table,2
104,right,table,2.1818
104,right,table,2.1818
104,right,table,2.2727
104,right,table,2
104,right,table,2.2727
104,right,table,2.1818
104,right,table,2.2727
108,right,table,2.0909
108,right,table,2.2727
108,right,table,2.3636
108,right,table,2.2727
108,right,table,2.0909
108,right,table,2.2727
108,right,table,2.3636
108,right,table,2.3636
108,right,table,2.0909
108,right,table,2.3636
112,right,table,2.3636
112,right,table,2.3636
112,right,table,2.1818
112,right,table,2.3636
112,right,table,2.4545
112,right,table,2.3636
112,right,table,2.1818
112,right,table,2.4545
112,right,table,2.3636
112,right,table,2.25
116,right,table,2.4545
116,right,table,2.4545
116,right,table,2.5455
116,right,table,2.1818
116,right,table,2.5455
116,right,table,2.4545
116,right,table,2.5455
116,right,table,2.2727
116,right,table,2.5455
116,right,table,2.5455
0,right,carpet,0
0,right,carpet,0
0,right,carpet,0
0,right,carpet,0
0,right,carpet,0
0,right,carpet,0
0,right,carpet,0
0,right,carpet,0
0,right,carpet,0
0,right,carpet,0
4,right,carpet,0
4,right,carpet,0
4,right,carpet,0
4,right,carpet,0
4,right,carpet,0
4,right,carpet,0
4,right,carpet,0
4,right,carpet,0
4,right,carpet,0
4,right,carpet,0
8,right,carpet,0
8,right,carpet,0
8,right,carpet,0
8,right,carpet,0
8,right,carpet,0
8,right,carpet,0
8,right,carpet,0
8,right,carpet,0
8,right,carpet,0
8,right,carpet,0
12,right,carpet,0
12,right,carpet,0.0909
12,right,carpet,0
12,right,carpet,0.0909
12,right,carpet,0
12,right,carpet,0
12,right,carpet,0
12,right,carpet,0
12,right,carpet,0
12,right,carpet,0
16,right,carpet,0
16,right,carpet,0
16,right,carpet,0
16,right,carpet,0
16,right,carpet,0
16,right,carpet,0
16,right,carpet,0
16,right,carpet,0
16,right,carpet,0
16,right,carpet,0
20,right,carpet,0.0909
20,right,carpet,0
20,right,carpet,0.1818
20,right,carpet,0.0909
20,right,carpet,0.0909
20,right,carpet,0.1818
20,right,carpet,0.0909
20,right,carpet,0.0909
20,right,carpet,0.1818
20,right,carpet,0.1818
24,right,carpet,0.0909
24,right,carpet,0.1818
24,right,carpet,0.2727
24,right,carpet,0.1818
24,right,carpet,0.2727
24,right,carpet,0.1818
24,right,carpet,0.2727
24,right,carpet,0.2727
24,right,carpet,0.3636
24,right,carpet,0.1818
28,right,carpet,0.3636
28,right,carpet,0.3636
28,right,carpet,0.3636
28,right,carpet,0.2727
28,right,carpet,0.3636
28,right,carpet,0.3636
28,right,carpet,0.3636
28,right,carpet,0.3636
28,right,carpet,0.4545
28,right,carpet,0.3636
32,right,carpet,0.4545
32,right,carpet,0.3636
32,right,carpet,0.4545
32,right,carpet,0.4545
32,right,carpet,0.5455
32,right,carpet,0.4545
32,right,carpet,0.4545
32,right,carpet,0.4545
32,right,carpet,0.5
32,right,carpet,0.4545
36,right,carpet,0.5455
36,right,carpet,0.5455
36,right,carpet,0.5455
36,right,carpet,0.5455
36,right,carpet,0.6364
36,right,carpet,0.6364
36,right,carpet,0.5455
36,right,carpet,0.6364
36,right,carpet,0.6364
36,right,carpet,0.6364
40,right,carpet,0.5455
40,right,carpet,0.6364
40,right,carpet,0.6364
40,right,carpet,0.7273
40,right,carpet,0.5455
40,right,carpet,0.7273
40,right,carpet,0.6364
40,right,carpet,0.7273
40,right,carpet,0.6364
40,right,carpet,0.7273
44,right,carpet,0.7273
44,right,carpet,0.8182
44,right,carpet,0.6364
44,right,carpet,0.7273
44,right,carpet,0.7273
44,right,carpet,0.75
44,right,carpet,0.7273
44,right,carpet,0.8182
44,right,carpet,0.7273
44,right,carpet,0.7273
48,right,carpet,0.8182
48,right,carpet,0.8182
48,right,carpet,0.9091
48,right,carpet,0.7273
48,right,carpet,0.9091
48,right,carpet,0.9091
48,right,carpet,0.9091
48,right,carpet,0.7273
48,right,carpet,0.9091
48,right,carpet,0.9091
52,right,carpet,0.8182
52,right,carpet,0.8182
52,right,carpet,1
52,right,carpet,0.9091
52,right,carpet,1
52,right,carpet,0.8182
52,right,carpet,1
52,right,carpet,0.9091
52,right,carpet,1
52,right,carpet,0.9091
56,right,carpet,1
56,right,carpet,1
56,right,carpet,1.0909
56,right,carpet,0.9091
56,right,carpet,0.9091
56,right,carpet,1
56,right,carpet,0.9167
56,right,carpet,1.0909
56,right,carpet,1
56,right,carpet,0.9091
60,right,carpet,0.9091
60,right,carpet,1.0909
60,right,carpet,1.0909
60,right,carpet,1.0909
60,right,carpet,1
60,right,carpet,1.0909
60,right,carpet,1.1818
60,right,carpet,1.0909
60,right,carpet,1
60,right,carpet,1.1818
64,right,carpet,1.0909
64,right,carpet,1.1818
64,right,carpet,1.0909
64,right,carpet,1.1818
64,right,carpet,1.2727
64,right,carpet,1.1818
64,right,carpet,1.0909
64,right,carpet,1.2727
64,right,carpet,1.1818
64,right,carpet,1.2727
68,right,carpet,1.1818
68,right,carpet,1.2727
68,right,carpet,1.3636
68,right,carpet,1.1667
68,right,carpet,1.2727
68,right,carpet,1.3636
68,right,carpet,1.3636
68,right,carpet,1.2727
68,right,carpet,1.2727
68,right,carpet,1.3636
72,right,carpet,1.3636
72,right,carpet,1.2727
72,right,carpet,1.3636
72,right,carpet,1.3636
72,right,carpet,1.4545
72,right,carpet,1.2727
72,right,carpet,1.4545
72,right,carpet,1.4545
72,right,carpet,1.3636
72,right,carpet,1.3636
76,right,carpet,1.4545
76,right,carpet,1.4545
76,right,carpet,1.4545
76,right,carpet,1.2727
76,right,carpet,1.5455
76,right,carpet,1.4545
76,right,carpet,1.5455
76,right,carpet,1.3636
76,right,carpet,1.5455
76,right,carpet,1.5455
80,right,carpet,1.5455
80,right,carpet,1.4545
80,right,carpet,1.5455
80,right,carpet,1.6364
80,right,carpet,1.4167
80,right,carpet,1.6364
80,right,carpet,1.6364
80,right,carpet,1.5455
80,right,carpet,1.5455
80,right,carpet,1.6364
84,right,carpet,1.6364
84,right,carpet,1.6364
84,right,carpet,1.5455
84,right,carpet,1.6364
84,right,carpet,1.7273
84,right,carpet,1.6364
84,right,carpet,1.5455
84,right,carpet,1.6364
84,right,carpet,1.7273
84,right,carpet,1.7273
88,right,carpet,1.5455
88,right,carpet,1.7273
88,right,carpet,1.8182
88,right,carpet,1.7273
88,right,carpet,1.6364
88,right,carpet,1.7273
88,right,carpet,1.8182
88,right,carpet,1.8182
88,right,carpet,1.6364
88,right,carpet,1.8182
92,right,carpet,1.8182
92,right,carpet,1.6667
92,right,carpet,1.9091
92,right,carpet,1.8182
92,right,carpet,1.9091
92,right,carpet,1.7273
92,right,carpet,1.8182
92,right,carpet,1.9091
92,right,carpet,1.9091
92,right,carpet,1.7273
96,right,carpet,1.9091
96,right,carpet,1.8182
96,right,carpet,2
96,right,carpet,1.8182
96,right,carpet,2
96,right,carpet,1.9091
96,right,carpet,2
96,right,carpet,1.9091
96,right,carpet,2
96,right,carpet,2
100,right,carpet,2
100,right,carpet,1.8182
100,right,carpet,2
100,right,carpet,2
100,right,carpet,2.0909
100,right,carpet,1.8182
100,right,carpet,2.0909
100,right,carpet,2.0909
100,right,carpet,2.0909
100,right,carpet,1.9091
104,right,carpet,2.0909
104,right,carpet,2.0909
104,right,carpet,1.9167
104,right,carpet,2.1818
104,right,carpet,2.1818
104,right,carpet,2.0909
104,right,carpet,2
104,right,carpet,2.0909
104,right,carpet,2.1818
104,right,carpet,2.1818
108,right,carpet,2
108,right,carpet,2.1818
108,right,carpet,2.1818
108,right,carpet,2.2727
108,right,carpet,2
108,right,carpet,2.2727
108,right,carpet,2.2727
108,right,carpet,2.2727
108,right,carpet,2
108,right,carpet,2.2727
112,right,carpet,2.2727
112,right,carpet,2.3636
112,right,carpet,2.0909
112,right,carpet,2.2727
112,right,carpet,2.2727
112,right,carpet,2.3636
112,right,carpet,2.0909
112,right,carpet,2.3636
112,right,carpet,2.3636
112,right,carpet,2.1667
116,right,carpet,2.3636
116,right,carpet,2.3636
116,right,carpet,2.3636
116,right,carpet,2.1818
116,right,carpet,2.4545
116,right,carpet,2.4545
116,right,carpet,2.4545
116,right,carpet,2.1818
116,right,carpet,2.3636
116,right,carpet,2.4545
